doc_id,author_id,role
D1,A1,author
D2,A2,author
D3,A3,contributor
D4,A4,contributor
D4,A5,contributor
D5,A6,author
D6,A7,contributor
D6,A8,contributor
D7,A9,author
D7,A10,contributor
D8,A11,author
D8,A12,contributor
D8,A13,contributor
D8,A14,contributor
D9,A15,author
D10,A16,author
D11,A17,contributor
D12,A18,author
D12,A19,contributor
D13,A20,author
D14,A21,author
D15,A22,author
D15,A23,contributor
D16,A24,author
D16,A25,contributor
D17,A26,contributor
D17,A27,contributor
D18,A28,contributor
D19,A29,author
D19,A30,contributor
D19,A31,contributor
D20,A32,contributor
D21,A33,author
D22,A34,author
D22,A35,contributor
D23,A36,author
D24,A37,author
D25,A38,author
D26,A39,author
D27,A40,author
D28,A41,contributor
D29,A42,author
D29,A43,contributor
D29,A44,contributor
D29,A45,contributor
D29,A46,contributor
D30,A47,author
D31,A48,author
D32,A49,contributor
D32,A50,contributor
D33,A51,author
D34,A52,author
D35,A53,author
D35,A54,contributor
D35,A55,contributor
D36,A56,author
D37,A57,author
D38,A58,author
D39,A59,author
D40,A60,author
D40,A61,contributor
D41,A62,author
D41,A63,contributor
D42,A64,author
D43,A65,author
D43,A66,contributor
D43,A67,contributor
D43,A68,contributor
D43,A69,contributor
D44,A70,author
D44,A71,contributor
D45,A72,author
D46,A73,author
D46,A74,contributor
D46,A75,contributor
D47,A76,author
D48,A77,author
D49,A78,author
D50,A79,author
D50,A80,contributor
D51,A81,author
D52,A82,author
D52,A83,contributor
D53,A84,author
D53,A85,contributor
D53,A86,contributor
D53,A87,contributor
D54,A88,contributor
D54,A89,contributor
D54,A90,contributor
D54,A91,contributor
D55,A92,author
D55,A93,contributor
D55,A94,contributor
D56,A95,author
D56,A96,contributor
D56,A97,contributor
D57,A98,author
D58,A99,author
D59,A100,author
D60,A101,author
D60,A102,contributor
D61,A103,author
D61,A104,contributor
D62,A105,author
D63,A106,contributor
D64,A107,author
D65,A108,author
D66,A109,author
D67,A110,author
D68,A111,author
D68,A112,contributor
D69,A113,contributor
D69,A114,contributor
D69,A115,contributor
D69,A116,contributor
D70,A117,author
D70,A118,contributor
D71,A119,author
D71,A120,contributor
D72,A121,author
D72,A122,contributor
D73,A123,author
D73,A124,contributor
D74,A125,author
D75,A126,author
D75,A127,contributor
D75,A128,contributor
D76,A129,author
D76,A130,contributor
D77,A131,contributor
D77,A132,contributor
D77,A133,contributor
D77,A134,contributor
D78,A135,author
D79,A135,author
D80,A136,contributor
D80,A137,contributor
D80,A138,contributor
D80,A139,contributor
D80,A140,contributor
D80,A141,contributor
D80,A142,contributor
D80,A143,contributor
D81,A144,contributor
D81,A145,contributor
D81,A146,contributor
D81,A147,contributor
D82,A148,author
D82,A149,contributor
D83,A150,author
D84,A151,contributor
D84,A152,contributor
D84,A153,contributor
D84,A154,contributor
D84,A155,contributor
D84,A156,contributor
D85,A157,contributor
D85,A139,contributor
D85,A158,contributor
D85,A159,contributor
D85,A140,contributor
D85,A160,contributor
D85,A141,contributor
D86,A161,author
D86,A162,contributor
D87,A163,author
D88,A164,contributor
D88,A165,contributor
D88,A166,contributor
D89,A167,contributor
D89,A168,contributor
D89,A169,contributor
D89,A170,contributor
D89,A171,contributor
D89,A172,contributor
D90,A173,author
D91,A174,author
D91,A175,contributor
D92,A176,contributor
D92,A177,contributor
D92,A178,contributor
D92,A179,contributor
D93,A180,author
D93,A181,contributor
D94,A182,author
D94,A183,contributor
D95,A184,author
D95,A185,contributor
D95,A186,contributor
D96,A187,contributor
D96,A188,contributor
D96,A189,contributor
D96,A190,contributor
D96,A191,contributor
D97,A192,author
D98,A193,author
D99,A194,contributor
D99,A195,contributor
D99,A196,contributor
D100,A197,author
D101,A198,contributor
D101,A199,contributor
D101,A200,contributor
D101,A201,contributor
D102,A202,author
D102,A203,contributor
D103,A204,author
D104,A205,contributor
D106,A206,author
D107,A207,author
D108,A208,contributor
D109,A209,author
D111,A206,author
D112,A209,author
D113,A210,author
D114,A210,author
D115,A210,author
D118,A211,author
D119,A212,author
D120,A212,author
D121,A212,author
D122,A210,author
D123,A213,author
D123,A214,contributor
D124,A215,author
D124,A216,contributor
D124,A217,contributor
D125,A218,author
D126,A207,author
D127,A207,author
D128,A207,author
D129,A207,author
D129,A212,contributor
D130,A209,author
D130,A207,contributor
D131,A219,author
D132,A207,author
D133,A220,author
D134,A207,author
D134,A221,contributor
D134,A222,contributor
D134,A223,contributor
D135,A207,author
D136,A224,author
D137,A225,author
D138,A224,author
D139,A206,contributor
D139,A226,contributor
D139,A227,contributor
D140,A228,author
D141,A228,author
D142,A229,author
D143,A230,author
D143,A231,contributor
D144,A232,author
D145,A233,contributor
D145,A234,contributor
D145,A235,contributor
D145,A236,contributor
D145,A237,contributor
D146,A232,author
D146,A238,contributor
D146,A239,contributor
D147,A240,author
D148,A241,author
D148,A242,contributor
D148,A243,contributor
D148,A244,contributor
D150,A245,author
D151,A246,author
D151,A247,supervisor
D152,A248,author
D152,A249,supervisor
D153,A250,author
D153,A251,supervisor
D154,A252,author
D154,A251,supervisor
D155,A214,author
D155,A253,supervisor
D156,A254,author
D156,A255,supervisor
D156,A256,supervisor
D157,A257,author
D157,A258,supervisor
D158,A259,author
D158,A260,supervisor
D158,A261,supervisor
D159,A262,author
D159,A263,supervisor
D159,A264,supervisor
D160,A265,author
D160,A266,supervisor
D161,A267,author
D161,A268,supervisor
D162,A269,author
D162,A204,supervisor
D163,A270,author
D163,A271,supervisor
D164,A272,author
D164,A273,supervisor
D165,A274,author
D165,A247,supervisor
D166,A275,author
D166,A276,supervisor
D167,A277,author
D167,A258,supervisor
D167,A278,supervisor
D168,A279,author
D168,A251,supervisor
D169,A280,author
D169,A251,supervisor
D170,A281,author
D170,A282,supervisor
D171,A283,author
D171,A284,supervisor
D171,A285,supervisor
D172,A286,author
D172,A287,supervisor
D172,A288,supervisor
D173,A289,author
D173,A290,supervisor
D173,A291,supervisor
D174,A292,author
D174,A276,supervisor
D175,A293,author
D175,A294,supervisor
D176,A295,author
D176,A296,supervisor
D177,A297,author
D177,A298,supervisor
D178,A299,author
D178,A300,supervisor
D178,A301,supervisor
D179,A302,author
D179,A247,supervisor
D180,A303,author
D180,A304,supervisor
D181,A305,author
D181,A306,supervisor
D182,A307,author
D182,A308,supervisor
D183,A309,author
D183,A310,supervisor
D184,A311,author
D184,A310,supervisor
D185,A312,author
D185,A204,supervisor
D186,A313,author
D186,A314,supervisor
D187,A315,author
D187,A268,supervisor
D188,A316,author
D188,A317,supervisor
D189,A318,author
D189,A319,supervisor
D190,A320,author
D190,A321,supervisor
D191,A322,author
D191,A321,supervisor
D192,A323,author
D192,A271,supervisor
D193,A324,author
D193,A325,supervisor
D194,A326,author
D194,A317,supervisor
D195,A327,author
D195,A328,supervisor
D195,A329,supervisor
D196,A330,author
D196,A331,supervisor
D196,A332,supervisor
D197,A333,author
D197,A334,supervisor
D198,A335,author
D198,A284,supervisor
D199,A336,author
D199,A337,supervisor
D199,A338,supervisor
D200,A339,author
D200,A337,supervisor
D200,A340,supervisor
D201,A341,contributor
D201,A342,contributor
D201,A343,contributor
D201,A344,contributor
D202,A345,author
D202,A346,contributor
D202,A347,contributor
D203,A348,contributor
D203,A349,contributor
D203,A350,contributor
D203,A351,contributor
D204,A352,contributor
D204,A353,contributor
D204,A354,contributor
D204,A355,contributor
D205,A356,author
D205,A357,contributor
D205,A358,contributor
D206,A359,contributor
D206,A360,contributor
D206,A361,contributor
D206,A362,contributor
D207,A363,contributor
D207,A364,contributor
D207,A365,contributor
D207,A366,contributor
D208,A367,contributor
D208,A368,contributor
D208,A369,contributor
D208,A370,contributor
D209,A371,author
D209,A372,contributor
D209,A373,contributor
D210,A374,contributor
D210,A375,contributor
D210,A376,contributor
D210,A377,contributor
D211,A378,contributor
D211,A379,contributor
D211,A380,contributor
D211,A381,contributor
D212,A382,author
D212,A383,contributor
D212,A384,contributor
D213,A385,contributor
D213,A386,contributor
D213,A387,contributor
D213,A388,contributor
D214,A389,author
D214,A390,contributor
D214,A391,contributor
D215,A392,contributor
D215,A393,contributor
D215,A394,contributor
D215,A395,contributor
D216,A396,author
D216,A397,contributor
D216,A398,contributor
D217,A399,contributor
D217,A400,contributor
D217,A401,contributor
D217,A402,contributor
D218,A403,author
D218,A404,contributor
D218,A405,contributor
D224,A406,contributor
D224,A407,contributor
D224,A408,contributor
D224,A409,contributor
D225,A410,author
D226,A411,author
D226,A412,contributor
D227,A413,contributor
D227,A414,contributor
D227,A415,contributor
D227,A416,contributor
D228,A417,author
D228,A418,contributor
D228,A419,contributor
D229,A420,author
D229,A421,contributor
D230,A422,contributor
D230,A423,contributor
D230,A424,contributor
D230,A425,contributor
D231,A426,author
D232,A427,contributor
D232,A428,contributor
D232,A429,contributor
D232,A430,contributor
D233,A431,author
D233,A432,contributor
D234,A433,author
D234,A434,contributor
D235,A435,author
D236,A436,author
D237,A437,author
D237,A438,contributor
D237,A439,contributor
D238,A440,author
D238,A441,contributor
D238,A442,contributor
D239,A443,author
D240,A444,author
D240,A445,contributor
D240,A446,contributor
D241,A447,author
D241,A448,contributor
D241,A449,contributor
D242,A450,author
D243,A451,author
D243,A452,contributor
D244,A453,author
D245,A454,author
D245,A455,contributor
D246,A456,author
D247,A457,author
D248,A458,author
D248,A459,contributor
D249,A460,author
D249,A461,contributor
D249,A462,contributor
D250,A463,author
